;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes_2017;acidentes_2018;acidentes_2019;acidentes_2020;acidentes_2021;acidentes_2022;acidentes_2023;acidentes_2024
23862;2024-07-09;PE;SALGUEIRO;232;515;-8,068192;2024-07-09;0;0;0;0;0;0;0;1
23863;2024-07-09;BA;VITORIA DA CONQUISTA;116;797;-14,69663096;2024-07-09;0;0;0;0;0;0;0;6
23864;2024-07-09;MA;ACAILANDIA;222;675;-4,9567077;2024-07-09;0;0;0;0;0;0;0;3
23865;2024-07-09;SC;PAULO LOPES;101;245;-27,901682;2024-07-09;0;0;0;0;0;0;0;2
23866;2024-07-09;MA;BARRA DO CORDA;226;269,3;-5,41953089;2024-07-09;0;0;0;0;0;0;0;5
23867;2024-07-09;RR;CARACARAI;174;263;1,285696;2024-07-09;0;0;0;0;0;0;0;1
23868;2024-07-09;BA;VITORIA DA CONQUISTA;116;822,5;-14,84940754;2024-07-09;0;0;0;0;0;0;0;2
23869;2024-07-09;MG;ESTIVA;381;873,7;-22,41920114;2024-07-09;0;0;0;0;0;0;0;4
23870;2024-07-10;GO;CATALAO;50;279;-18,1739;2024-07-10;0;0;0;0;0;0;0;3
23871;2024-07-10;SC;ICARA;101;377,9;-28,74926202;2024-07-10;0;0;0;0;0;0;0;1
23872;2024-07-09;RS;URUGUAIANA;290;723;-29,748093;2024-07-09;0;0;0;0;0;0;0;2
23873;2024-07-10;MA;SANTA RITA;135;74;-3,17339605;2024-07-10;0;0;0;0;0;0;0;4
23874;2024-07-10;PB;SOBRADO;230;78;-7,1849;2024-07-10;0;0;0;0;0;0;0;2
23875;2024-07-10;MG;MURIAE;356;266;-21,12847993;2024-07-10;0;0;0;0;0;0;0;2
23876;2024-07-10;BA;VITORIA DA CONQUISTA;116;8,8;-14,85091126;2024-07-10;0;0;0;0;0;0;0;2
23877;2024-07-10;SC;ARAQUARI;101;67,1;-26,4886267;2024-07-10;0;0;0;0;0;0;0;2
