;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
30790;2021-10-31;PR;LONDRINA;369;144;-23.29350102;-51.10909045;1
30791;2021-10-31;BA;JUAZEIRO;407;48,4;-9.79759009;-40.32393919;1
30792;2021-10-31;SE;NOSSA SENHORA DO SOCORRO;101;93,4;-10.90560644;-37.14962482;4
30793;2021-10-31;MS;CAARAPO;163;207;-22.64660094;-54.81213792;1
30794;2021-10-31;PR;JURANDA;369;412,3;-24.3445;-52.7277;3
30795;2021-10-31;RN;CEARA-MIRIM;406;152;-5.65651272;-35.41672366;2
30796;2021-10-31;PE;SAO LOURENCO DA MATA;408;100,4;-8.045435;-35.010256;1
30797;2021-10-31;GO;TEREZOPOLIS DE GOIAS;60;113,9;-16.47338996;-49.07939499;5
30798;2021-10-31;BA;BARREIRAS;242;3;-12.153215;-44.990364;3
30799;2021-10-31;PE;JABOATAO DOS GUARARAPES;101;79,5;-8.149261;-34.943445;1
30800;2021-10-31;RN;GOIANINHA;101;150,5;-6.29468514;-35.19627929;1
30801;2021-10-31;SC;CAMPOS NOVOS;470;339;-27.52684;-51.36031;1
30802;2021-10-31;RS;DOM PEDRITO;293;251,2;-30.964394;-54.66957;2
30803;2021-10-31;RJ;CARDOSO MOREIRA;356;107,9;-21.54542261;-41.4746409;3
30804;2021-10-31;RS;VERANOPOLIS;470;174,4;-28.91426441;-51.54056132;1
30805;2021-10-31;RJ;PETROPOLIS;40;77;-22.485127;-43.229464;3
30806;2021-11-01;PR;PRUDENTOPOLIS;373;259,1;-25.206547;-50.936092;3
30807;2021-10-31;SC;VARGEM BONITA;282;433,5;-26.97752;-51.823841;5
30808;2021-10-31;MG;OLIVEIRA;381;606,6;-20.67638406;-44.73850226;1
30809;2021-11-01;GO;PORANGATU;153;44;-13.200286;-49.157761;2
30810;2021-11-01;SP;SAO JOSE DO RIO PRETO;153;63,9;-20.82938293;-49.36059661;2
30811;2021-11-01;GO;CATALAO;50;268,5;-18.0944;-47.8761;2
30812;2021-10-31;CE;TIANGUA;222;328,5;-3.82591043;-41.10762119;2
30813;2021-10-31;MS;NOVA ALVORADA DO SUL;267;195;-21.59121395;-53.90219597;2
30814;2021-10-31;RO;ARIQUEMES;364;490;-10.10375419;-62.94643309;1
30815;2021-10-31;MG;SANTA VITORIA;365;831,9;-18.90190394;-50.19473002;2
30816;2021-11-01;RJ;CARDOSO MOREIRA;356;114;-21.58924604;-41.43597104;1
30817;2021-11-01;PE;VITORIA DE SANTO ANTAO;232;51;-8.13823439;-35.33196918;5
30818;2021-11-01;PE;SALGUEIRO;232;512;-8.07319601;-39.15511499;3
30819;2021-11-01;RR;CARACARAI;174;375;1.891984;-61.114639;2
30820;2021-11-01;PR;CURITIBA;277;103;-25.50564195;-49.3407288;3
30821;2021-10-31;PR;LAPA;476;241,7;-25.86130892;-50.07321596;4
30822;2021-11-01;PR;MORRETES;277;27,8;-25.52935033;-48.72534598;1
30823;2021-11-01;BA;ITABUNA;415;49;-14.82006734;-39.30609941;3
30824;2021-11-01;SC;TUBARAO;101;333,5;-28.46822488;-49.01184976;2
30825;2021-11-01;SC;SAO JOSE;101;210,3;-27.61887587;-48.64742875;2
30826;2021-11-01;RS;SAO LEOPOLDO;116;249;-29.78214582;-51.1597681;2
30827;2021-09-26;RJ;NOVA IGUACU;116;184;-22.74112429;-43.49997109;3
30828;2021-10-03;MG;JOAO PINHEIRO;40;146,7;-17.76031425;-46.15533115;4
30829;2021-07-26;RS;SAPUCAIA DO SUL;116;253;-29.81339634;-51.16873926;2
30830;2021-11-01;RS;LAVRAS DO SUL;0;0;-31;-54;2
30831;2021-11-01;SC;JOINVILLE;101;48,8;-26.38149454;-48.85157168;2
30832;2021-11-01;MG;FLORESTAL;262;391;-19.92369912;-44.46409813;4
30833;2021-11-01;SP;LAVRINHAS;116;19,2;-22.56334703;-44.86497596;2
30834;2021-11-01;PR;TIJUCAS DO SUL;376;639,5;-25.78522206;-49.0920639;1
30835;2021-11-01;PE;PETROLINA;428;192;-9.38067769;-40.51113714;2
30836;2021-11-01;PR;MARINGA;376;182;-23.43203006;-51.88734949;1
30837;2021-11-01;SP;TABOAO DA SERRA;116;269;-23.62722548;-46.7589361;3
30838;2021-11-01;RN;PARNAMIRIM;101;105,3;-5.90224849;-35.25930047;4
30839;2021-11-01;MG;UBERABA;50;179,2;-19.77827391;-47.93504477;1
30840;2021-11-01;RJ;PARATY;101;541;-23.04799632;-44.59099407;3
30841;2021-11-01;ES;JOAO NEIVA;259;7,8;-19.69007166;-40.38814545;1
30842;2021-11-01;RS;ELDORADO DO SUL;116;292;-30.05365284;-51.33574234;6
30843;2021-11-01;MG;PARA DE MINAS;262;403;-19.89468798;-44.57131499;2
30844;2021-11-01;CE;MILAGRES;116;494,3;-7.39283437;-38.96067552;2
30845;2021-11-01;PE;PETROLINA;428;126,5;-9.389902;-40.522905;2
30846;2021-11-01;BA;GOVERNADOR MANGABEIRA;101;206;-12.598443;-39.025628;2
30847;2021-11-01;RS;SAO LUIZ GONZAGA;285;548,4;-28.414913;-54.773037;5
30848;2021-11-01;PR;CAMPO LARGO;277;106,7;-25.43076319;-49.42476511;3
30849;2021-11-01;PB;POMBAL;230;423;-6.7285;-37.8799;5
30850;2021-11-01;RS;SANTANA DO LIVRAMENTO;158;563,5;-30.85802656;-55.50164223;2
30851;2021-11-01;PR;REALEZA;163;123;-25.59563495;-53.59529597;3
30852;2021-11-01;RO;PORTO VELHO;364;708;-8.79387357;-63.84362524;1
30853;2021-11-01;SC;ILHOTA;470;15,8;-26.839785;-48.785534;1
30854;2021-11-01;BA;MILAGRES;116;554;-12.90392626;-39.86139056;3
30855;2021-11-01;PR;TOLEDO;163;272;-24.6193261;-53.92676003;2
30856;2021-11-01;GO;PARANAIGUARA;364;20,5;-18.931599;-50.647808;4
30857;2021-11-02;MG;CONSELHEIRO LAFAIETE;40;622,7;-20.60362336;-43.80772591;3
30858;2021-11-02;MG;UBERLANDIA;365;652,4;-18.86577425;-48.57750103;1
30859;2021-11-02;MG;TRES MARIAS;40;278,9;-18.22800425;-45.22060391;2
30860;2021-11-02;RO;PORTO VELHO;319;64;-8.76925805;-63.8836205;1
30861;2021-11-02;MT;PEDRA PRETA;364;157;-16.75242006;-54.26980018;1
30862;2021-11-02;PR;CAMPINA GRANDE DO SUL;116;14,1;-25.09863821;-48.67346764;3
30863;2021-11-01;BA;CAPIM GROSSO;324;354;-11.37482633;-40.02505481;3
30864;2021-11-02;RO;PORTO VELHO;364;706;-8.8013002;-63.83014798;1
